id,boa_peak,boa_size
1816,10008,25
1817,1801,8
1818,1810,9
1819,10011,2
1820,10008,25
1821,10013,2
1822,10014,2
1823,10015,2
1824,1828,8
1825,3873,26
1826,10018,23
1827,1795,25
1828,1828,8
1829,1828,8
1830,1828,8
1831,10023,2
1832,10024,10
1833,1801,8
1834,10018,23
1835,10027,2
1836,1828,8
1837,10029,2
1838,10030,2
1839,10031,2
1840,3888,12
1841,1329,13
1842,1810,9
1843,10035,2
1844,1828,8
1845,10037,2
1846,10038,2
1847,10039,2
1848,1592,17
1849,10041,2
1850,10042,2
1851,10043,2
1852,10044,2
1853,10045,2
1854,10046,2
1855,10047,2
1856,3904,6
1857,1345,10
1858,1795,25
1859,1795,25
1860,3844,29
1861,10053,2
1862,10054,2
1863,10055,2
1864,1608,18
1865,1801,8
1866,10058,2
1867,10059,2
1868,10060,2
1869,10061,2
1870,10062,2
1871,10063,2
1872,1872,10
1873,1872,10
1874,1810,9
1875,10067,2
1876,1872,10
1877,10069,2
1878,10070,2
1879,10071,2
1880,10008,25
1881,10073,2
1882,10074,2
1883,10075,2
1884,10076,2
1885,10077,2
1886,10078,2
1887,10079,2
1888,10080,19
1889,10080,19
1890,10018,23
1891,10083,2
1892,1828,8
1893,10085,2
1894,10086,2
1895,10087,2
1896,10024,10
